Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08119067 Schorndorf, Stadt;27982;19779;8203;0;18095;7696;105;17990;5411;4114;2060;2109;2568;501;171;;282;266;;;;304;;;121;;;83;;
08119068 Schwaikheim;6445;4164;2281;0;4374;2192;36;4338;1505;1048;327;463;556;109;29;;74;121;;;;31;;;43;;;15;;17
08119069 Spiegelberg;1641;1289;352;0;1093;338;16;1077;208;229;234;165;117;31;31;6;14;19;;;;15;;;1;;;7;;
08119075 Sulzbach an der Murr;3689;2605;1084;0;2258;1034;18;2240;553;581;276;423;196;37;12;13;22;45;;;;38;;;21;;;23;;
08119076 Urbach;6329;4284;2045;0;4249;1955;18;4231;1270;1060;435;461;563;119;57;;64;101;;;;57;;;23;;;21;;
08119079 Waiblingen, Stadt;35516;23358;12158;0;22449;11397;128;22321;6634;5372;1951;2415;3165;744;153;;309;782;;;;214;;;152;;;149;;281
08119083 Weissach im Tal;5516;3821;1695;0;3686;1588;24;3662;893;871;415;714;416;89;21;29;52;68;;;;38;;;19;;;37;;
08119084 Welzheim, Stadt;7775;5483;2292;0;4849;2170;34;4815;1077;981;597;719;455;131;44;545;41;111;;;;56;;;25;;;33;;
08119085 Winnenden, Stadt;18928;12300;6628;0;12246;6248;61;12185;3491;3425;1053;1173;1674;377;70;;184;419;;;;130;;;94;;;46;;49
08119086 Winterbach;5618;3685;1933;0;4094;1852;27;4067;1335;940;385;405;564;106;30;;73;65;;;;89;;;38;;;37;;
08119087 Aspach;5965;4237;1728;0;3881;1651;26;3855;974;874;494;682;470;68;27;23;67;80;;;;52;;;24;;;20;;
08119089 Berglen;4950;2833;2117;0;3376;2005;20;3356;844;772;454;438;478;63;34;26;44;99;;;;54;;;22;;;28;;
08119090 Remshalden;10281;6360;3921;0;7216;3727;35;7181;2263;1897;615;668;1141;144;43;;128;107;;;;102;;;42;;;31;;
08119091 Weinstadt, Stadt;18926;11958;6968;0;13492;6599;66;13426;4201;3469;1024;1287;2205;353;79;;188;275;;;;131;;;151;;;63;;
08119093 Kernen im Remstal;11229;7345;3884;0;7614;3711;35;7579;2115;1602;529;723;1930;220;52;;102;105;;;;101;;;58;;;42;;
08121000 Heilbronn, Stadt;75839;55668;20164;7;43382;18920;341;43041;12794;9772;5346;5208;5089;1696;302;;737;756;;;;329;;;274;;;421;317;
